Country,Region
United States,North America
Canada,North America
Hong Kong,Rest of the world
Spain,Spain
Taiwan,Rest of the world
Turkey,Rest of the world
Hungary,Rest of the world
Netherlands,Rest of the world
Mexico,Spanish South America
Unknown,Rest of the world
Germany,DACH
Denmark,Other Western Europe
Belgium,France & Belgium
Switzerland,Other Western Europe
United Kingdom,Other Western Europe
Abu Dhabi,Rest of the world
Israel,Rest of the world
Sultanate of Oman,Rest of the world
Australia,Rest of the world
Afghanistan,Rest of the world
South Africa,Rest of the world
Italy,Italy
India,Rest of the world
France,France & Belgium
Sweden,Other Western Europe
Republic of Albania,Rest of the world
Palestine,Rest of the world
Algeria,Rest of the world
Portugal,Other Western Europe
Norway,Other Western Europe
Brazil,Non Spanish South america
Jordan,Rest of the world
Angola,Rest of the world
Colombia,Spanish South America
Venezuela,Spanish South America
Saudi Arabia,Rest of the world
Argentina,Spanish South America
Armenia,Rest of the world
Romania,Rest of the world
New Zealand,Rest of the world
Austria,DACH
Azerbaijan,Rest of the world
Bahamas,Rest of the world
Pakistan,Rest of the world
Bahrain,Rest of the world
Indonesia,Rest of the world
Thailand,Rest of the world
Bangladesh,Rest of the world
China,Rest of the world
Lebanon,Rest of the world
Belarus,Rest of the world
Belize,Rest of the world
Tunisia,Rest of the world
Benin,Rest of the world
Bermuda,Rest of the world
Bhutan,Rest of the world
Poland,Rest of the world
Russia,Rest of the world
Bolivia,Rest of the world
Bosnia and Herzegovina,Rest of the world
Botswana,Rest of the world
Slovak Republic,Rest of the world
Bulgaria,Rest of the world
Burkina Faso,Rest of the world
Egypt,Rest of the world
Cambodia,Rest of the world
Cameroon,Rest of the world
Morroco,Rest of the world
Chile,Spanish South America
Cayman Islands,Rest of the world
Central African Republic,Rest of the world
Japan,Rest of the world
Moldova,Rest of the world
Korea,Rest of the world
Cyprus,Rest of the world
Sri Lanka,Rest of the world
Costa Rica,Spanish South America
Côte d'Ivoire,Rest of the world
Ireland,Other Western Europe
Croatia,Rest of the world
Malaysia,Rest of the world
czech republic,Rest of the world
Congo,Rest of the world
Djibouti,Rest of the world
Qatar,Rest of the world
Dominican Republic,Rest of the world
United Arab Emirates,Rest of the world
Ecuador,Rest of the world
Equador,Rest of the world
Finland,Other Western Europe
Estonia,Rest of the world
Ethiopia,Rest of the world
Gabon,Rest of the world
Georgia,Rest of the world
Ghana,Rest of the world
Gibraltar,Rest of the world
Greece,Other Western Europe
Guatemala,Rest of the world
Guinea,Rest of the world
Guyana,Rest of the world
Honduras,Rest of the world
Iceland,Other Western Europe
Irak,Rest of the world
Iran,Rest of the world
Iraq,Rest of the world
Island,Rest of the world
Jamaica,Rest of the world
Kazakhstan,Rest of the world
Kenya,Rest of the world
Kyrgyzstan,Rest of the world
Kuweit,Rest of the world
Kuwait,Rest of the world
Bolvia,Spanish South America
Laos,Rest of the world
Latvia,Rest of the world
Liberia,Rest of the world
Libya,Rest of the world
Liechtenstein,Rest of the world
Lithuania,Rest of the world
Luxembourg,Other Western Europe
Macedonia,Rest of the world
Madagascar,Rest of the world
Malawi,Rest of the world
Mali,Rest of the world
Malta,Rest of the world
Marocco,Rest of the world
Mauritius,Rest of the world
Monaco,Other Western Europe
Mongolia,Rest of the world
Mozambique,Rest of the world
Myanmar,Rest of the world
Namibia,Rest of the world
Philippines,Rest of the world
Nepal,Rest of the world
New Caledonia,Rest of the world
Nicaragua,Rest of the world
Niger,Rest of the world
Nigeria,Rest of the world
Ouganda,Rest of the world
Uzbekistan,Rest of the world
Panama,Spanish South America
Papua New Guinea,Rest of the world
Paraguay,Spanish South America
Peru,Spanish South America
French Polynesia,Rest of the world
Puerto Rico,Spanish South America
Rwanda,Rest of the world
Senegal,Rest of the world
Scotland,Rest of the world
Serbia,Rest of the world
Sierra Leone,Rest of the world
Singapore,Rest of the world
Slovakia,Rest of the world
Slovenia,Rest of the world
Solomon Islands,Rest of the world
Sudan,Rest of the world
Barbados,Rest of the world
Suriname,Rest of the world
Swaziland,Rest of the world
Syria,Rest of the world
Tajikistan,Rest of the world
Tanzania,Rest of the world
Chad,Rest of the world
Togo,Rest of the world
Trinidad and Tobago,Rest of the world
Uganda,Rest of the world
Ukraine,Rest of the world
Uruguay,Rest of the world
Principality of Liechtenstein,Rest of the world
Vietnam,Rest of the world
Zambia,Rest of the world
Zimbabwe,Rest of the world
Unkown,Rest of the world
Unknown,Rest of the world
